State Code,State,Year Code,Month Code,Deaths
48,Texas,2008,2008/07,136
48,Texas,2008,2008/08,128
48,Texas,2008,2008/09,109
48,Texas,2008,2008/10,131
48,Texas,2008,2008/11,121
48,Texas,2008,2008/12,107
48,Texas,2009,2009/01,138
48,Texas,2009,2009/02,119
48,Texas,2009,2009/03,108
48,Texas,2009,2009/04,122
48,Texas,2009,2009/05,145
48,Texas,2009,2009/06,129
48,Texas,2009,2009/07,146
48,Texas,2009,2009/08,158
48,Texas,2009,2009/09,123
48,Texas,2009,2009/10,164
48,Texas,2009,2009/11,133
48,Texas,2009,2009/12,103
48,Texas,2010,2010/01,128
48,Texas,2010,2010/02,108
48,Texas,2010,2010/03,166
48,Texas,2010,2010/04,134
48,Texas,2010,2010/05,155
48,Texas,2010,2010/06,140
48,Texas,2010,2010/07,159
48,Texas,2010,2010/08,151
48,Texas,2010,2010/09,131
48,Texas,2010,2010/10,137
48,Texas,2010,2010/11,148
48,Texas,2010,2010/12,146
48,Texas,2011,2011/01,118
48,Texas,2011,2011/02,121
48,Texas,2011,2011/03,131
48,Texas,2011,2011/04,163
48,Texas,2011,2011/05,127
48,Texas,2011,2011/06,159
48,Texas,2011,2011/07,158
48,Texas,2011,2011/08,143
48,Texas,2011,2011/09,140
48,Texas,2011,2011/10,150
48,Texas,2011,2011/11,135
48,Texas,2011,2011/12,146
48,Texas,2012,2012/01,141
48,Texas,2012,2012/02,143
48,Texas,2012,2012/03,155
48,Texas,2012,2012/04,148
48,Texas,2012,2012/05,168
48,Texas,2012,2012/06,110
48,Texas,2012,2012/07,166
48,Texas,2012,2012/08,134
48,Texas,2012,2012/09,131
48,Texas,2012,2012/10,156
48,Texas,2012,2012/11,151
48,Texas,2012,2012/12,145
48,Texas,2013,2013/01,151
48,Texas,2013,2013/02,120
48,Texas,2013,2013/03,147
48,Texas,2013,2013/04,143
48,Texas,2013,2013/05,158
48,Texas,2013,2013/06,164
48,Texas,2013,2013/07,165
48,Texas,2013,2013/08,155
48,Texas,2013,2013/09,153
48,Texas,2013,2013/10,155
48,Texas,2013,2013/11,142
48,Texas,2013,2013/12,133
48,Texas,2014,2014/01,162
48,Texas,2014,2014/02,130
48,Texas,2014,2014/03,159
48,Texas,2014,2014/04,147
48,Texas,2014,2014/05,154
48,Texas,2014,2014/06,156
48,Texas,2014,2014/07,146
48,Texas,2014,2014/08,164
48,Texas,2014,2014/09,139
48,Texas,2014,2014/10,156
48,Texas,2014,2014/11,143
48,Texas,2014,2014/12,137
48,Texas,2015,2015/01,177
48,Texas,2015,2015/02,146
48,Texas,2015,2015/03,170
48,Texas,2015,2015/04,168
48,Texas,2015,2015/05,173
48,Texas,2015,2015/06,176
48,Texas,2015,2015/07,182
48,Texas,2015,2015/08,190
48,Texas,2015,2015/09,141
48,Texas,2015,2015/10,148
48,Texas,2015,2015/11,180
48,Texas,2015,2015/12,145
48,Texas,2016,2016/01,168
48,Texas,2016,2016/02,173
48,Texas,2016,2016/03,170
48,Texas,2016,2016/04,180
48,Texas,2016,2016/05,178
48,Texas,2016,2016/06,164
48,Texas,2016,2016/07,185
48,Texas,2016,2016/08,171
48,Texas,2016,2016/09,167
48,Texas,2016,2016/10,154
48,Texas,2016,2016/11,149
48,Texas,2016,2016/12,160
49,Utah,1999,1999/01,18
49,Utah,1999,1999/02,16
49,Utah,1999,1999/04,18
49,Utah,1999,1999/05,19
49,Utah,1999,1999/06,11
49,Utah,1999,1999/07,10
49,Utah,1999,1999/08,13
49,Utah,1999,1999/09,10
49,Utah,1999,1999/11,12
49,Utah,1999,1999/12,12
49,Utah,2000,2000/01,15
49,Utah,2000,2000/02,17
49,Utah,2000,2000/03,17
49,Utah,2000,2000/04,13
49,Utah,2000,2000/05,23
49,Utah,2000,2000/06,16
49,Utah,2000,2000/07,14
49,Utah,2000,2000/08,17
49,Utah,2000,2000/09,13
49,Utah,2000,2000/10,18
49,Utah,2001,2001/01,10
49,Utah,2001,2001/03,11
49,Utah,2001,2001/04,11
49,Utah,2001,2001/05,25
49,Utah,2001,2001/06,14
49,Utah,2001,2001/07,22
49,Utah,2001,2001/08,18
49,Utah,2001,2001/09,12
49,Utah,2001,2001/10,25
49,Utah,2001,2001/11,15
49,Utah,2001,2001/12,12
49,Utah,2002,2002/01,19
49,Utah,2002,2002/03,21
49,Utah,2002,2002/04,18
49,Utah,2002,2002/05,11
49,Utah,2002,2002/06,16
49,Utah,2002,2002/07,17
49,Utah,2002,2002/09,17
49,Utah,2002,2002/11,18
49,Utah,2002,2002/12,14
49,Utah,2003,2003/01,12
49,Utah,2003,2003/02,14
49,Utah,2003,2003/03,21
49,Utah,2003,2003/04,19
49,Utah,2003,2003/05,15
49,Utah,2003,2003/06,18
49,Utah,2003,2003/07,11
49,Utah,2003,2003/08,12
49,Utah,2003,2003/09,22
49,Utah,2003,2003/10,14
49,Utah,2003,2003/11,12
49,Utah,2003,2003/12,11
49,Utah,2004,2004/01,11
49,Utah,2004,2004/02,17
49,Utah,2004,2004/03,14
49,Utah,2004,2004/04,16
49,Utah,2004,2004/05,16
49,Utah,2004,2004/06,14
49,Utah,2004,2004/07,13
49,Utah,2004,2004/08,13
49,Utah,2004,2004/09,19
49,Utah,2004,2004/10,19
49,Utah,2004,2004/11,18
49,Utah,2004,2004/12,13
49,Utah,2005,2005/01,14
